Time[s], Channel 0
0.000000000000000, 1
0.618305250000000, 0
0.619107750000000, 1
0.621819375000000, 0
0.624748875000000, 1
0.625380125000000, 0
0.626182625000000, 1
0.628893750000000, 0
0.629670625000000, 1
0.632407750000000, 0
0.633184500000000, 1
0.635921625000000, 0
0.638846875000000, 1
0.639478250000000, 0
0.640280750000000, 1
0.642992375000000, 0
0.645918125000000, 1
0.656454750000000, 0
0.657253000000000, 1
0.659969125000000, 0
0.662894875000000, 1
0.663530500000000, 0
0.664328750000000, 1
0.667044750000000, 0
0.667817250000000, 1
0.670558750000000, 0
0.671331125000000, 1
0.674072750000000, 0
0.676971875000000, 1
0.677628750000000, 0
0.678405375000000, 1
0.681142125000000, 0
0.684067125000000, 1
0.694605500000000, 0
0.695377875000000, 1
0.698114500000000, 0
0.701010125000000, 1
0.701667125000000, 0
0.702444000000000, 1
0.705211375000000, 0
0.705954000000000, 1
0.708721375000000, 0
0.709468125000000, 1
0.712235250000000, 0
0.715100875000000, 1
0.715757875000000, 0
0.716530250000000, 1
0.719297000000000, 0
0.722187625000000, 1
0.732721625000000, 0
0.733489875000000, 1
0.736256625000000, 0
0.739134500000000, 1
0.739765875000000, 0
0.740563875000000, 1
0.743304625000000, 0
0.744072625000000, 1
0.746813500000000, 0
0.747555875000000, 1
0.750322125000000, 0
0.753170375000000, 1
0.753831625000000, 0
0.754625500000000, 1
0.757366375000000, 0
0.760214125000000, 1
0.770774125000000, 0
0.771568250000000, 1
0.774309875000000, 0
0.777179625000000, 1
0.777811125000000, 0
0.778609375000000, 1
0.781350750000000, 0
0.782089125000000, 1
0.784860625000000, 0
0.785624500000000, 1
0.788365875000000, 0
0.791235250000000, 1
0.791870875000000, 0
0.792664750000000, 1
0.795406375000000, 0
0.798276250000000, 1
1.502593500000000, 0
1.503387500000000, 1
1.506099250000000, 0
1.508990750000000, 1
1.509652125000000, 0
1.510420250000000, 1
1.513131750000000, 0
1.513925625000000, 1
1.516641375000000, 0
1.517435125000000, 1
1.520146625000000, 0
1.523042000000000, 1
1.523703250000000, 0
1.524445750000000, 1
1.527182875000000, 0
1.530073625000000, 1
2.242728125000000, 0
2.243504875000000, 1
2.246241750000000, 0
2.249124750000000, 1
2.249816000000000, 0
2.250584375000000, 1
2.253296000000000, 0
2.254068625000000, 1
2.256805875000000, 0
2.257599875000000, 1
2.260311500000000, 0
2.263181750000000, 1
2.263868875000000, 0
2.264633000000000, 1
2.267349375000000, 0
2.270236625000000, 1
2.280772875000000, 0
2.281562500000000, 1
2.284278375000000, 0
2.287140000000000, 1
2.287827125000000, 0
2.288591125000000, 1
2.291302750000000, 0
2.292096750000000, 1
2.294808375000000, 0
2.295602250000000, 1
2.298313875000000, 0
2.301200875000000, 1
2.301866625000000, 0
2.302630625000000, 1
2.305342500000000, 0
2.308208250000000, 1
2.888056375000000, 0
2.888820375000000, 1
2.891561875000000, 0
2.894448625000000, 1
2.895110000000000, 0
2.895873875000000, 1
2.898589625000000, 0
2.899353500000000, 1
2.902095000000000, 0
2.902863125000000, 1
2.905600000000000, 0
2.908486875000000, 1
2.909148375000000, 0
2.909891000000000, 1
2.912628500000000, 0
2.915494125000000, 1
2.926055750000000, 0
2.926824000000000, 1
2.929561250000000, 0
2.932422625000000, 1
2.933113875000000, 0
2.933877750000000, 1
2.936589375000000, 0
2.937383250000000, 1
2.940095000000000, 0
2.940888750000000, 1
2.943604500000000, 0
2.946465875000000, 1
2.947157250000000, 0
2.947895375000000, 1
2.950631875000000, 0
2.953526750000000, 1
3.354688875000000, 0
3.355482875000000, 1
3.358199125000000, 0
3.361060750000000, 1
3.361752125000000, 0
3.362516125000000, 1
3.365227750000000, 0
3.366021625000000, 1
3.368737250000000, 0
3.369505375000000, 1
3.372246625000000, 0
3.375137625000000, 1
3.375798875000000, 0
3.376562750000000, 1
3.379278375000000, 0
3.382169875000000, 1
3.691849625000000, 0
3.692643500000000, 1
3.695355250000000, 0
3.698224750000000, 1
3.698886125000000, 0
3.699680125000000, 1
3.702392000000000, 0
3.703164500000000, 1
3.705902000000000, 0
3.706670250000000, 1
3.709411625000000, 0
3.712311500000000, 1
3.712947125000000, 0
3.713741125000000, 1
3.716452625000000, 0
3.719352750000000, 1
3.729889750000000, 0
3.730658125000000, 1
3.733395625000000, 0
3.736270125000000, 1
3.736957375000000, 0
3.737721500000000, 1
3.740433500000000, 0
3.741231875000000, 1
3.743944125000000, 0
3.744716625000000, 1
3.747454250000000, 0
3.750366875000000, 1
3.751028250000000, 0
3.751800875000000, 1
3.754517000000000, 0
3.757425500000000, 1
4.046518499999999, 0
4.047312499999999, 1
4.050024000000000, 0
4.052885125000000, 1
4.053576500000000, 0
4.054314750000000, 1
4.057051875000000, 0
4.057845750000000, 1
4.060557125000000, 0
4.061351000000000, 1
4.064062625000000, 0
4.066953874999999, 1
4.067615250000000, 0
4.068353500000000, 1
4.071090625000000, 0
4.073986000000000, 1
4.363105625000000, 0
4.363899625000000, 1
4.366611375000000, 0
4.369476750000000, 1
4.370133875000000, 0
4.370927750000000, 1
4.373639499999999, 0
4.374433625000000, 1
4.377145125000000, 0
4.377939125000000, 1
4.380650624999999, 0
4.383537375000000, 1
4.384173000000000, 0
4.384941250000000, 1
4.387677875000000, 0
4.390568500000000, 1
